Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd RST Flags,Bwd RST Flags,ICMP Code,ICMP Type,Total TCP Flow Time
192.168.1.29-91.189.91.49-0-80-6,192.168.1.29,0,91.189.91.49,80,6,2025-12-21 15:31:28.412458,520185.4705810547,6,0,88,0,88,0,14.666666666666668,35.92584956081994,0.0,0.0,0.0,0.0,169.17043050376384,11.534347534347534,86697.57843017578,138175.91379147783,311850.78620910645,0.0,520185.4705810547,104037.09411621095,147006.0811954405,311850.78620910645,43.8690185546875,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,320,0,11.534347534347534,0.0,0,88,14.666666666666668,35.92584956081994,1290.6666666666665,1,1,0,1,5,0,0,0,0.0,14.666666666666668,14.666666666666668,0.0,0,0,0,0,0,0,6,88,0,0,0,0,1,88,520185.4705810547,0.0,520185.4705810547,520185.4705810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520185.4705810547
91.189.91.49-192.168.1.29-0-47606-6,91.189.91.49,0,192.168.1.29,47606,6,2025-12-21 15:31:28.620424,520217.4186706543,5,0,189,0,189,0,37.8,84.52336954949205,0.0,0.0,0.0,0.0,363.30963404294323,9.611365979972044,104043.48373413086,146944.2576787963,311873.4359741211,0.0,520217.4186706543,130054.35466766357,155819.5016941846,311873.4359741211,174.7608184814453,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,9.611365979972044,0.0,0,189,37.8,84.52336954949205,7144.2,1,1,0,1,5,0,0,0,0.0,37.8,37.8,0.0,0,0,0,0,0,0,5,189,0,0,0,0,1,189,520217.4186706543,0.0,520217.4186706543,520217.4186706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520217.4186706543
192.168.1.29-185.125.190.48-0-80-6,192.168.1.29,0,185.125.190.48,80,6,2025-12-21 15:36:28.292280,624212.2650146484,7,0,88,0,88,0,12.571428571428573,33.26087362481199,0.0,0.0,0.0,0.0,140.9776848872633,11.214134025123217,89173.18071637835,111164.65700811823,209196.5675354004,0.0,624212.2650146484,104035.3775024414,113901.99321124594,209196.5675354004,52.45208740234375,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,372,0,11.214134025123217,0.0,0,88,12.571428571428573,33.26087362481199,1106.2857142857142,1,1,1,1,5,0,0,0,0.0,12.571428571428573,12.571428571428573,0.0,0,0,0,0,0,0,7,88,0,0,0,0,1,88,624212.2650146484,0.0,624212.2650146484,624212.2650146484,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,624212.2650146484
185.125.190.48-192.168.1.29-0-46456-6,185.125.190.48,0,192.168.1.29,46456,6,2025-12-21 15:36:28.501295,415150.88081359863,5,0,189,0,189,0,37.8,84.52336954949205,0.0,0.0,0.0,0.0,455.2561700690703,12.043814022991278,83030.17616271973,113556.99688901722,208097.4578857422,0.0,415150.88081359863,103787.72020339966,119670.73365112253,208097.4578857422,123.50082397460938,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,12.043814022991278,0.0,0,189,37.8,84.52336954949205,7144.2,1,1,0,1,5,0,0,0,0.0,37.8,37.8,0.0,0,0,0,0,0,0,5,189,0,0,0,0,1,189,415150.88081359863,0.0,415150.88081359863,415150.88081359863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415150.88081359863
192.168.1.29-185.125.190.17-0-80-6,192.168.1.29,0,185.125.190.17,80,6,2025-12-21 15:41:28.268330,624616.8613433838,6,0,88,0,88,0,14.666666666666668,35.92584956081994,0.0,0.0,0.0,0.0,140.88636642106576,9.60588861961812,104102.8102238973,161219.61412384367,312303.3046722412,0.0,624616.8613433838,124923.37226867676,170992.6502626574,312303.3046722412,36.2396240234375,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,332,0,9.60588861961812,0.0,0,88,14.666666666666668,35.92584956081994,1290.6666666666665,1,1,0,1,5,0,0,0,0.0,14.666666666666668,14.666666666666668,0.0,0,0,0,0,0,0,6,88,0,0,0,0,1,88,624616.8613433838,0.0,624616.8613433838,624616.8613433838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624616.8613433838
185.125.190.17-192.168.1.29-0-51100-6,185.125.190.17,0,192.168.1.29,51100,6,2025-12-21 15:41:28.580442,623903.0361175537,4,0,189,0,189,0,47.25,94.5,0.0,0.0,0.0,0.0,302.9316881932744,6.41125266017512,155975.75902938843,179991.07926456505,312142.84896850586,0.0,623903.0361175537,207967.67870585123,179933.9452476154,312142.84896850586,198.12583923339844,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,216,0,6.41125266017512,0.0,0,189,47.25,94.5,8930.25,1,1,0,1,4,0,0,0,0.0,47.25,47.25,0.0,0,0,0,0,0,0,4,189,0,0,0,0,1,189,623903.0361175537,0.0,623903.0361175537,623903.0361175537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623903.0361175537
192.168.1.29-169.254.169.254-0-80-6,192.168.1.29,0,169.254.169.254,80,6,2025-12-21 15:42:48.972329,110656071.42448425,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13555514674345318,7377071.428298949,25018129.872544777,97761074.78141785,0.0,110656071.42448425,7904005.101748875,25876016.66864512,97761074.78141785,58.650970458984375,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,900,0,0.13555514674345318,0.0,0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22318285.18489685,49383983.41145807,110656071.42448425,58.75,10972071.675000003,30503688.820443984,97761074.75,1038948.75,0.0,0.0,0.0,0.0,110656071.42448425
192.168.1.29-91.189.91.96-0-80-6,192.168.1.29,0,91.189.91.96,80,6,2025-12-21 15:46:28.309427,623284.8167419434,6,0,88,0,88,0,14.666666666666668,35.92584956081994,0.0,0.0,0.0,0.0,141.18745978764048,9.62641771279367,103880.8027903239,160850.94619328104,311832.4279785156,0.0,623284.8167419434,124656.96334838867,170598.70239126554,311832.4279785156,46.73004150390625,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,332,0,9.62641771279367,0.0,0,88,14.666666666666668,35.92584956081994,1290.6666666666665,1,1,0,1,5,0,0,0,0.0,14.666666666666668,14.666666666666668,0.0,0,0,0,0,0,0,6,88,0,0,0,0,1,88,623284.8167419434,0.0,623284.8167419434,623284.8167419434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623284.8167419434
91.189.91.96-192.168.1.29-0-49264-6,91.189.91.96,0,192.168.1.29,49264,6,2025-12-21 15:46:28.620451,624099.0161895752,4,0,185,0,185,0,46.25,92.5,0.0,0.0,0.0,0.0,296.42732194886963,6.409239393489073,156024.7540473938,180053.97871110175,312041.2826538086,0.0,624099.0161895752,208033.00539652506,180000.01006716734,312041.2826538086,186.920166015625,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,204,0,6.409239393489073,0.0,0,185,46.25,92.5,8556.25,1,1,1,1,3,0,0,0,0.0,46.25,46.25,0.0,0,0,0,0,0,0,4,185,0,0,0,0,1,185,624099.0161895752,0.0,624099.0161895752,624099.0161895752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,624099.0161895752
192.168.1.29-185.125.190.17-0-80-6,192.168.1.29,0,185.125.190.17,80,6,2025-12-21 15:51:28.381496,624138.1168365479,6,0,88,0,88,0,14.666666666666668,35.92584956081994,0.0,0.0,0.0,0.0,140.99443316493654,9.61325680670022,104023.01947275798,161113.21528531687,313055.03845214844,0.0,624138.1168365479,124827.62336730957,170881.826419304,313055.03845214844,18.596649169921875,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,332,0,9.61325680670022,0.0,0,88,14.666666666666668,35.92584956081994,1290.6666666666665,1,1,0,1,5,0,0,0,0.0,14.666666666666668,14.666666666666668,0.0,0,0,0,0,0,0,6,88,0,0,0,0,1,88,624138.1168365479,0.0,624138.1168365479,624138.1168365479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624138.1168365479
