Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd RST Flags,Bwd RST Flags,ICMP Code,ICMP Type,Total TCP Flow Time
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.071222,3895.998001098633,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12833.682149195276,77.91996002197267,327.1125130243949,1868.4864044189453,0.0,3895.998001098633,79.51016328772721,330.3070473039344,1868.4864044189453,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,12833.682149195276,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3895.998001098633,0.0,3895.998001098633,3895.998001098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.998001098633
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.075118,36547.66082763672,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0766119562666,730.9532165527344,2779.5649055823415,16730.308532714844,0.0,36547.66082763672,745.8706291354432,2806.3465113968496,16730.308532714844,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1368.0766119562666,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,36547.66082763672,0.0,36547.66082763672,36547.66082763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36547.66082763672
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.112664,12019.39582824707,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4159.942871878286,240.3879165649414,658.111992677537,3018.1407928466797,0.0,12019.39582824707,245.29379241320552,664.0076036005632,3018.1407928466797,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,4159.942871878286,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,12019.39582824707,0.0,12019.39582824707,12019.39582824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12019.39582824707
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.124684,33546.44775390625,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.4707755287695,670.9289550781251,3320.254163364469,16825.67596435547,0.0,33546.44775390625,684.6213827327807,3353.2352706275647,16825.67596435547,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1490.4707755287695,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33546.44775390625,0.0,33546.44775390625,33546.44775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33546.44775390625
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.158230,47256.7081451416,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0508453198393,945.1341629028319,4633.422946187243,28619.766235351562,0.0,47256.7081451416,964.4226152069713,4679.41033712529,28619.766235351562,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1058.0508453198393,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,47256.7081451416,0.0,47256.7081451416,47256.7081451416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47256.7081451416
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.205487,12850.522994995117,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3890.892224345535,257.01045989990234,738.0101959346702,4000.6637573242188,0.0,12850.522994995117,262.25557132643087,744.7159832065043,4000.6637573242188,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3890.892224345535,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,12850.522994995117,0.0,12850.522994995117,12850.522994995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12850.522994995117
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.219337,13043.16520690918,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3833.4253386221144,260.8633041381835,697.7506309911142,3038.167953491211,0.0,13043.16520690918,266.1870450389628,703.9546442729928,3038.167953491211,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3833.4253386221144,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,13043.16520690918,0.0,13043.16520690918,13043.16520690918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13043.16520690918
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.232381,8898.019790649414,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5619.227780606093,177.9603958129883,1258.3700266200608,8898.019790649414,0.0,8898.019790649414,181.59224062549828,1271.1456843784877,8898.019790649414,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,5619.227780606093,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8898.019790649414,0.0,8898.019790649414,8898.019790649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8898.019790649414
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.241279,16490.459442138672,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.056212590001,329.8091888427734,2332.103139283597,16490.459442138672,0.0,16490.459442138672,336.53998861507495,2355.7799203055242,16490.459442138672,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3032.056212590001,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,16490.459442138672,0.0,16490.459442138672,16490.459442138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16490.459442138672
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 00:12:01.257769,33539.772033691406,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.7674372316528,670.7954406738281,3319.5765333989107,16770.83969116211,0.0,33539.772033691406,684.4851435447225,3352.5508950276853,16770.83969116211,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1490.7674372316528,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33539.772033691406,0.0,33539.772033691406,33539.772033691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33539.772033691406
