Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd RST Flags,Bwd RST Flags,ICMP Code,ICMP Type,Total TCP Flow Time
140.82.114.22-192.168.1.55-443-60673-6,140.82.114.22,443,192.168.1.55,60673,6,2025-12-16 07:44:33.445880,1188494.4438934326,13,10,6447,5961,1436,0,495.9230769230769,636.8013114436952,1436,0,596.1,682.3750109401395,10440.099290117148,19.35221499618749,54022.46590909091,116631.94522017134,335323.75,0.0,917428.75,76452.39583333333,137810.53973903556,339283.25,0.0,906544.0,100727.11111111111,149612.91133434718,335323.75,0.0,7,2,0,0,532,412,10.938208476105974,8.414006520081518,0,1436,539.4782608695654,643.6272827121171,414256.07905138354,1,2,0,9,22,0,0,0,0.9246161005118659,539.4782608695654,495.9230769230769,596.1,3223,4,22417,5444,4,0,13,6447,10,5961,0,0,9,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188494.4438934326
140.82.114.22-192.168.1.55-443-60673-6,140.82.114.22,443,192.168.1.55,60673,6,2025-12-16 07:44:34.634375,-1.0,0,3,0,24,0.0,0.0,0.0,0.0,24,0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,120,0.0,0.0,0,24,8.0,13.856406460551018,192.0,1,0,0,1,3,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
140.82.114.22-192.168.1.55-443-60673-6,140.82.114.22,443,192.168.1.55,60673,6,2025-12-16 07:44:34.900062,-1.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
140.82.114.22-192.168.1.55-443-60674-6,140.82.114.22,443,192.168.1.55,60674,6,2025-12-16 07:44:33.445880,1507584.0950012207,20,21,6445,21336,1436,0,322.25000000000006,561.2093028264476,1436,0,1015.9999999999999,629.9727771896179,18427.496079399476,27.195829496971974,37689.59999999999,97779.53224575211,318074.25,0.0,1219004.0,64158.1052631579,122897.20112840908,318074.25,0.0,1506568.5,75328.425,164890.7465017826,600024.5,0.0,7,3,0,0,812,852,13.266258291205842,13.929571205766134,0,1436,677.5853658536585,686.5084477123992,471293.84878048784,1,2,0,10,40,0,0,0,3.3104732350659427,677.5853658536585,322.25000000000006,1015.9999999999999,5678,5,1320648,10397,7,12468985,20,6445,21,21336,0,0,9,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507584.0950012207
140.82.114.22-192.168.1.55-443-60674-6,140.82.114.22,443,192.168.1.55,60674,6,2025-12-16 07:44:34.954465,-1.0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,80,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
140.82.114.22-192.168.1.55-443-60674-6,140.82.114.22,443,192.168.1.55,60674,6,2025-12-16 07:44:34.954465,-1.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
140.82.114.22-192.168.1.55-443-60674-6,140.82.114.22,443,192.168.1.55,60674,6,2025-12-16 07:44:35.267387,-1.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
13.89.179.10-192.168.1.55-443-60675-6,13.89.179.10,443,192.168.1.55,60675,6,2025-12-16 07:44:40.716256,933116.1975860596,11,13,5157,12329,1452,0,468.81818181818187,645.1207357048474,1440,0,948.3846153846154,642.7706354086112,18739.359626631387,25.720269417771547,40570.26086956522,90379.90122276529,233592.0,0.0,699697.0,69969.69999999998,112662.14531539271,233592.0,0.0,700425.5,58368.79166666667,105593.21293384006,233833.25,0.0,4,3,0,0,452,532,11.788456816478625,13.931812601292922,0,1452,728.5833333333333,675.341389782696,456085.9927536232,1,2,0,7,23,0,0,0,2.390731045181307,728.5833333333333,468.81818181818187,948.3846153846154,5058,6,21737,11375,8,0,11,5157,13,12329,0,0,7,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933116.1975860596
13.89.179.10-192.168.1.55-443-60675-6,13.89.179.10,443,192.168.1.55,60675,6,2025-12-16 07:44:41.649372,-1.0,0,3,0,24,0.0,0.0,0.0,0.0,24,0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,120,0.0,0.0,0,24,8.0,13.856406460551018,192.0,1,0,0,1,3,0,0,0,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
13.89.179.10-192.168.1.55-443-60676-6,13.89.179.10,443,192.168.1.55,60676,6,2025-12-16 07:44:44.249825,941167.3545837402,9,8,5157,4628,1452,0,573.0,673.1030753161064,1440,0,578.5,604.5773021588838,10396.66319953024,18.062674950640172,58822.96875,104341.57661992793,236643.25,0.0,710901.5,88862.68750000001,122383.43922649932,240645.0,0.0,704524.25,100646.32142857143,124300.33344255979,236172.0,0.0,4,3,0,0,372,332,9.562592620927148,8.500082329713022,0,1452,575.5882352941177,621.6543511895829,386454.1323529413,1,2,0,7,16,0,0,0,0.8974209811906148,575.5882352941177,573.0,578.5,4490,4,4489255,0,0,0,9,5157,8,4628,0,0,7,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941167.3545837402
